Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,calc_participation,Rep_total,Dem_total,Lib_total
Alapaha,Berrien,1140.0,287.0,267.0,67.0,1.0,622.0,87.0,76.0,43.0,0.0,206.0,2.0,3.0,0.0,0.0,5.0,833.0,73.1,622.0,206.0,5.0
Blackstock,Catoosa,1952.0,386.0,588.0,114.0,0.0,1088.0,40.0,107.0,60.0,1.0,208.0,9.0,7.0,3.0,0.0,19.0,1315.0,67.4,1088.0,208.0,19.0
Boynton,Catoosa,6027.0,685.0,2445.0,368.0,3.0,3501.0,130.0,562.0,304.0,0.0,996.0,26.0,36.0,8.0,0.0,70.0,4567.0,75.8,3501.0,996.0,70.0
Catoosa Keith,Catoosa,2611.0,485.0,877.0,170.0,0.0,1532.0,54.0,165.0,110.0,0.0,329.0,18.0,16.0,5.0,0.0,39.0,1900.0,72.8,1532.0,329.0,39.0
Chambers,Catoosa,2552.0,328.0,1130.0,180.0,3.0,1641.0,56.0,183.0,112.0,0.0,351.0,13.0,13.0,7.0,1.0,34.0,2026.0,79.4,1641.0,351.0,34.0
Ft Oglethorpe,Catoosa,4054.0,378.0,1296.0,314.0,1.0,1989.0,109.0,376.0,216.0,0.0,701.0,5.0,21.0,7.0,0.0,33.0,2723.0,67.2,1989.0,701.0,33.0
Graysville,Catoosa,4501.0,564.0,1617.0,255.0,3.0,2439.0,104.0,339.0,215.0,0.0,658.0,22.0,24.0,5.0,0.0,51.0,3148.0,69.9,2439.0,658.0,51.0
Lakeview,Catoosa,3572.0,354.0,1098.0,201.0,1.0,1654.0,88.0,259.0,137.0,1.0,485.0,10.0,16.0,9.0,1.0,36.0,2175.0,60.9,1654.0,485.0,36.0
Poplar Springs,Catoosa,4191.0,474.0,1691.0,268.0,0.0,2433.0,71.0,321.0,189.0,1.0,582.0,21.0,17.0,5.0,0.0,43.0,3058.0,73.0,2433.0,582.0,43.0
Ringgold,Catoosa,7414.0,581.0,2980.0,516.0,3.0,4080.0,148.0,766.0,413.0,0.0,1327.0,18.0,49.0,15.0,0.0,82.0,5489.0,74.0,4080.0,1327.0,82.0
Westside,Catoosa,5895.0,412.0,2126.0,418.0,2.0,2958.0,92.0,554.0,256.0,0.0,902.0,18.0,27.0,12.0,0.0,57.0,3917.0,66.4,2958.0,902.0,57.0
Woodstation,Catoosa,2946.0,523.0,1177.0,148.0,4.0,1852.0,84.0,191.0,118.0,0.0,393.0,18.0,10.0,2.0,0.0,30.0,2275.0,77.2,1852.0,393.0,30.0
Hazlehurst,Jeff Davis,1406.0,111.0,238.0,57.0,0.0,406.0,102.0,209.0,97.0,0.0,408.0,6.0,2.0,2.0,0.0,10.0,824.0,58.6,406.0,408.0,10.0
Altamaha 1,Jeff Davis,703.0,93.0,311.0,43.0,0.0,447.0,10.0,44.0,14.0,0.0,68.0,2.0,4.0,0.0,0.0,6.0,521.0,74.1,447.0,68.0,6.0
Altamaha 2,Jeff Davis,1249.0,347.0,489.0,77.0,0.0,913.0,15.0,16.0,12.0,0.0,43.0,2.0,1.0,2.0,0.0,5.0,961.0,76.9,913.0,43.0,5.0
Blackburn 1,Jeff Davis,870.0,102.0,237.0,42.0,0.0,381.0,26.0,49.0,36.0,0.0,111.0,1.0,3.0,1.0,0.0,5.0,497.0,57.1,381.0,111.0,5.0
Blackburn 2,Jeff Davis,722.0,177.0,261.0,55.0,0.0,493.0,4.0,10.0,10.0,0.0,24.0,2.0,1.0,0.0,0.0,3.0,520.0,72.0,493.0,24.0,3.0
Whitehead 1,Jeff Davis,988.0,103.0,332.0,68.0,0.0,503.0,33.0,79.0,40.0,0.0,152.0,1.0,1.0,1.0,0.0,3.0,658.0,66.6,503.0,152.0,3.0
Whitehead 2,Jeff Davis,642.0,196.0,206.0,49.0,0.0,451.0,12.0,8.0,9.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,480.0,74.8,451.0,29.0,0.0
Ocmulgee 1,Jeff Davis,1399.0,180.0,538.0,103.0,0.0,821.0,37.0,63.0,27.0,0.0,127.0,3.0,4.0,4.0,0.0,11.0,959.0,68.5,821.0,127.0,11.0
Ocmulgee 2,Jeff Davis,499.0,109.0,137.0,34.0,0.0,280.0,9.0,29.0,28.0,0.0,66.0,1.0,1.0,3.0,0.0,5.0,351.0,70.3,280.0,66.0,5.0
Coldwater,Chattooga,248.0,31.0,85.0,15.0,0.0,131.0,9.0,28.0,25.0,0.0,62.0,1.0,1.0,0.0,0.0,2.0,195.0,78.6,131.0,62.0,2.0
Dirtseller,Chattooga,186.0,45.0,61.0,7.0,0.0,113.0,4.0,9.0,6.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,132.0,71.0,113.0,19.0,0.0
Haywood,Chattooga,169.0,74.0,23.0,3.0,0.0,100.0,8.0,1.0,5.0,1.0,15.0,1.0,0.0,0.0,0.0,1.0,116.0,68.6,100.0,15.0,1.0
Lyerly,Chattooga,934.0,215.0,267.0,53.0,2.0,537.0,34.0,42.0,32.0,0.0,108.0,13.0,8.0,0.0,0.0,21.0,666.0,71.3,537.0,108.0,21.0
Trion,Chattooga,3496.0,581.0,1171.0,254.0,1.0,2007.0,71.0,163.0,134.0,0.0,368.0,13.0,16.0,9.0,0.0,38.0,2413.0,69.0,2007.0,368.0,38.0
Summerville,Chattooga,5155.0,548.0,1671.0,422.0,2.0,2643.0,149.0,412.0,283.0,1.0,845.0,15.0,24.0,10.0,0.0,49.0,3537.0,68.6,2643.0,845.0,49.0
Teloga,Chattooga,593.0,89.0,257.0,66.0,0.0,412.0,5.0,18.0,23.0,0.0,46.0,0.0,2.0,0.0,0.0,2.0,460.0,77.6,412.0,46.0,2.0
Dirttown,Chattooga,897.0,259.0,265.0,74.0,0.0,598.0,28.0,41.0,45.0,0.0,114.0,1.0,4.0,3.0,0.0,8.0,720.0,80.3,598.0,114.0,8.0
Seminole,Chattooga,138.0,33.0,43.0,18.0,0.0,94.0,2.0,5.0,3.0,0.0,10.0,2.0,0.0,0.0,0.0,2.0,106.0,76.8,94.0,10.0,2.0
Subligna,Chattooga,489.0,174.0,124.0,49.0,1.0,348.0,8.0,11.0,18.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,385.0,78.7,348.0,37.0,0.0
Alpine,Chattooga,872.0,264.0,217.0,70.0,0.0,551.0,30.0,46.0,33.0,0.0,109.0,1.0,1.0,1.0,0.0,3.0,663.0,76.0,551.0,109.0,3.0
Cloudland,Chattooga,378.0,84.0,108.0,33.0,0.0,225.0,5.0,38.0,27.0,0.0,70.0,2.0,0.0,1.0,0.0,3.0,298.0,78.8,225.0,70.0,3.0
Pennville,Chattooga,588.0,67.0,200.0,38.0,0.0,305.0,13.0,23.0,15.0,0.0,51.0,1.0,1.0,1.0,0.0,3.0,359.0,61.1,305.0,51.0,3.0
Hacklebarney-Cason,Pierce,3524.0,251.0,1421.0,226.0,0.0,1898.0,36.0,281.0,161.0,0.0,478.0,4.0,11.0,0.0,0.0,15.0,2391.0,67.8,1898.0,478.0,15.0
Blackshear,Pierce,3207.0,278.0,1451.0,240.0,0.0,1969.0,35.0,120.0,71.0,0.0,226.0,7.0,3.0,4.0,0.0,14.0,2209.0,68.9,1969.0,226.0,14.0
St Johns-Blackshear,Pierce,1611.0,134.0,840.0,139.0,0.0,1113.0,15.0,49.0,37.0,0.0,101.0,1.0,7.0,0.0,0.0,8.0,1222.0,75.9,1113.0,101.0,8.0
Otter Creek,Pierce,1397.0,199.0,631.0,105.0,0.0,935.0,8.0,41.0,31.0,0.0,80.0,1.0,4.0,1.0,0.0,6.0,1021.0,73.1,935.0,80.0,6.0
Patterson,Pierce,1311.0,205.0,537.0,79.0,0.0,821.0,21.0,71.0,39.0,0.0,131.0,1.0,2.0,0.0,0.0,3.0,955.0,72.8,821.0,131.0,3.0
Mershon,Pierce,478.0,39.0,254.0,44.0,0.0,337.0,2.0,10.0,13.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,362.0,75.7,337.0,25.0,0.0
Alabaha,Pierce,918.0,74.0,471.0,57.0,0.0,602.0,5.0,34.0,16.0,0.0,55.0,0.0,2.0,1.0,0.0,3.0,660.0,71.9,602.0,55.0,3.0
Sunset-Sweat,Pierce,271.0,28.0,163.0,33.0,0.0,224.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,228.0,84.1,224.0,4.0,0.0
Midway,Lincoln,587.0,98.0,161.0,44.0,0.0,303.0,32.0,32.0,66.0,0.0,130.0,1.0,0.0,1.0,0.0,2.0,435.0,74.1,303.0,130.0,2.0
Lincoln Club House,Lincoln,799.0,66.0,135.0,29.0,0.0,230.0,65.0,120.0,161.0,2.0,348.0,0.0,0.0,1.0,0.0,1.0,579.0,72.5,230.0,348.0,1.0
Lincoln Center,Lincoln,1489.0,173.0,559.0,127.0,0.0,859.0,50.0,112.0,100.0,0.0,262.0,6.0,3.0,3.0,0.0,12.0,1133.0,76.1,859.0,262.0,12.0
Faith Temple of Lincoln,Lincoln,489.0,78.0,122.0,32.0,0.0,232.0,21.0,55.0,52.0,0.0,128.0,0.0,2.0,0.0,0.0,2.0,362.0,74.0,232.0,128.0,2.0
Tabernacle,Lincoln,1003.0,133.0,241.0,56.0,0.0,430.0,61.0,108.0,141.0,0.0,310.0,1.0,2.0,2.0,0.0,5.0,745.0,74.3,430.0,310.0,5.0
Bethany Church,Lincoln,575.0,116.0,169.0,55.0,0.0,340.0,10.0,37.0,25.0,0.0,72.0,1.0,3.0,1.0,0.0,5.0,417.0,72.5,340.0,72.0,5.0
Martins Crossroad,Lincoln,1234.0,240.0,445.0,99.0,1.0,785.0,26.0,76.0,83.0,0.0,185.0,4.0,3.0,2.0,0.0,9.0,979.0,79.3,785.0,185.0,9.0
Shaw,Colquitt,3487.0,79.0,268.0,82.0,0.0,429.0,354.0,472.0,326.0,0.0,1152.0,4.0,4.0,1.0,0.0,9.0,1590.0,45.6,429.0,1152.0,9.0
Moultrie,Colquitt,4809.0,345.0,1165.0,289.0,0.0,1799.0,225.0,593.0,350.0,1.0,1169.0,9.0,12.0,7.0,0.0,28.0,2996.0,62.3,1799.0,1169.0,28.0
Autreyville,Colquitt,1512.0,260.0,415.0,69.0,2.0,746.0,45.0,102.0,55.0,0.0,202.0,5.0,3.0,0.0,0.0,8.0,956.0,63.2,746.0,202.0,8.0
Bridgecreek,Colquitt,1191.0,274.0,444.0,75.0,2.0,795.0,23.0,38.0,38.0,0.0,99.0,1.0,1.0,0.0,0.0,2.0,896.0,75.2,795.0,99.0,2.0
Crosland,Colquitt,289.0,86.0,31.0,20.0,0.0,137.0,24.0,17.0,9.0,1.0,51.0,0.0,0.0,0.0,0.0,0.0,188.0,65.1,137.0,51.0,0.0
Doerun,Colquitt,619.0,152.0,120.0,22.0,0.0,294.0,76.0,38.0,26.0,0.0,140.0,2.0,0.0,1.0,0.0,3.0,437.0,70.6,294.0,140.0,3.0
Funston,Colquitt,1030.0,279.0,268.0,63.0,3.0,613.0,26.0,49.0,32.0,0.0,107.0,7.0,2.0,1.0,0.0,10.0,730.0,70.9,613.0,107.0,10.0
Hamilton,Colquitt,784.0,263.0,205.0,44.0,0.0,512.0,19.0,23.0,13.0,0.0,55.0,1.0,1.0,2.0,0.0,4.0,571.0,72.8,512.0,55.0,4.0
Hartsfield,Colquitt,408.0,172.0,84.0,34.0,1.0,291.0,7.0,8.0,12.0,0.0,27.0,1.0,1.0,0.0,0.0,2.0,320.0,78.4,291.0,27.0,2.0
Hopewell,Colquitt,1670.0,264.0,598.0,107.0,2.0,971.0,35.0,97.0,54.0,1.0,187.0,6.0,8.0,0.0,0.0,14.0,1172.0,70.2,971.0,187.0,14.0
Lee,Colquitt,1094.0,211.0,275.0,72.0,0.0,558.0,27.0,58.0,23.0,0.0,108.0,2.0,1.0,0.0,0.0,3.0,669.0,61.2,558.0,108.0,3.0
Millcreek,Colquitt,422.0,112.0,132.0,37.0,0.0,281.0,5.0,11.0,11.0,0.0,27.0,1.0,1.0,0.0,0.0,2.0,310.0,73.5,281.0,27.0,2.0
Monk,Colquitt,1555.0,345.0,446.0,97.0,0.0,888.0,36.0,78.0,56.0,0.0,170.0,3.0,3.0,0.0,0.0,6.0,1064.0,68.4,888.0,170.0,6.0
Murphy,Colquitt,973.0,190.0,430.0,56.0,0.0,676.0,14.0,50.0,32.0,0.0,96.0,1.0,5.0,0.0,0.0,6.0,778.0,80.0,676.0,96.0,6.0
Norman Park,Colquitt,2586.0,404.0,678.0,144.0,0.0,1226.0,95.0,162.0,115.0,0.0,372.0,2.0,5.0,8.0,0.0,15.0,1613.0,62.4,1226.0,372.0,15.0
Robinson,Colquitt,860.0,232.0,202.0,46.0,0.0,480.0,39.0,36.0,18.0,0.0,93.0,1.0,2.0,0.0,0.0,3.0,576.0,67.0,480.0,93.0,3.0
Thigpen,Colquitt,251.0,100.0,45.0,14.0,0.0,159.0,8.0,3.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,176.0,70.1,159.0,17.0,0.0
Tyty,Colquitt,543.0,220.0,76.0,32.0,0.0,328.0,14.0,10.0,7.0,0.0,31.0,3.0,0.0,0.0,0.0,3.0,362.0,66.7,328.0,31.0,3.0
Warrior,Colquitt,971.0,282.0,250.0,62.0,0.0,594.0,36.0,32.0,16.0,0.0,84.0,1.0,0.0,0.0,0.0,1.0,679.0,69.9,594.0,84.0,1.0
Habersham North,Habersham,9096.0,642.0,4109.0,993.0,8.0,5752.0,95.0,606.0,474.0,2.0,1177.0,16.0,61.0,16.0,0.0,93.0,7022.0,77.2,5752.0,1177.0,93.0
Habersham South,Habersham,6171.0,506.0,2153.0,602.0,6.0,3267.0,149.0,426.0,282.0,1.0,858.0,24.0,21.0,7.0,0.0,52.0,4177.0,67.7,3267.0,858.0,52.0
Demorest,Habersham,4963.0,483.0,2086.0,528.0,1.0,3098.0,79.0,258.0,184.0,1.0,522.0,7.0,23.0,7.0,0.0,37.0,3657.0,73.7,3098.0,522.0,37.0
Town of Mt Airy,Habersham,790.0,99.0,238.0,64.0,2.0,403.0,21.0,59.0,31.0,0.0,111.0,4.0,3.0,2.0,0.0,9.0,523.0,66.2,403.0,111.0,9.0
City of Baldwin,Habersham,1252.0,140.0,295.0,88.0,0.0,523.0,48.0,81.0,61.0,0.0,190.0,4.0,6.0,0.0,0.0,10.0,723.0,57.7,523.0,190.0,10.0
Mud Creek,Habersham,4435.0,487.0,1638.0,459.0,4.0,2588.0,87.0,200.0,168.0,0.0,455.0,6.0,11.0,6.0,0.0,23.0,3066.0,69.1,2588.0,455.0,23.0
Amys Creek,Habersham,1557.0,271.0,564.0,171.0,0.0,1006.0,32.0,103.0,115.0,0.0,250.0,3.0,1.0,4.0,0.0,8.0,1264.0,81.2,1006.0,250.0,8.0
Chalybeate,Meriwether,451.0,173.0,107.0,27.0,0.0,307.0,16.0,8.0,24.0,0.0,48.0,2.0,1.0,0.0,0.0,3.0,358.0,79.4,307.0,48.0,3.0
Gill I,Meriwether,1662.0,284.0,338.0,139.0,0.0,761.0,149.0,131.0,141.0,1.0,422.0,4.0,1.0,4.0,0.0,9.0,1192.0,71.7,761.0,422.0,9.0
Gill II,Meriwether,1000.0,38.0,78.0,30.0,0.0,146.0,152.0,160.0,207.0,0.0,519.0,1.0,2.0,2.0,0.0,5.0,670.0,67.0,146.0,519.0,5.0
Odessadale,Meriwether,296.0,35.0,81.0,22.0,0.0,138.0,32.0,19.0,41.0,1.0,93.0,0.0,0.0,0.0,0.0,0.0,231.0,78.0,138.0,93.0,0.0
Greenville,Meriwether,2009.0,109.0,457.0,110.0,0.0,676.0,105.0,360.0,201.0,1.0,667.0,1.0,4.0,2.0,0.0,7.0,1350.0,67.2,676.0,667.0,7.0
Lone Oak,Meriwether,1263.0,160.0,273.0,59.0,0.0,492.0,89.0,149.0,171.0,0.0,409.0,4.0,5.0,2.0,0.0,11.0,912.0,72.2,492.0,409.0,11.0
Luthersville,Meriwether,2760.0,396.0,626.0,164.0,0.0,1186.0,169.0,278.0,240.0,0.0,687.0,0.0,3.0,2.0,0.0,5.0,1878.0,68.0,1186.0,687.0,5.0
Alvaton,Meriwether,1528.0,251.0,359.0,112.0,1.0,723.0,118.0,123.0,134.0,2.0,377.0,3.0,2.0,1.0,0.0,6.0,1106.0,72.4,723.0,377.0,6.0
Gay,Meriwether,411.0,82.0,107.0,28.0,0.0,217.0,20.0,17.0,38.0,0.0,75.0,5.0,0.0,0.0,0.0,5.0,297.0,72.3,217.0,75.0,5.0
Woodbury,Meriwether,1363.0,157.0,267.0,89.0,0.0,513.0,174.0,149.0,136.0,0.0,459.0,0.0,0.0,1.0,0.0,1.0,973.0,71.4,513.0,459.0,1.0
Warm Springs,Meriwether,1161.0,178.0,282.0,85.0,1.0,546.0,102.0,112.0,65.0,0.0,279.0,2.0,3.0,2.0,0.0,7.0,832.0,71.7,546.0,279.0,7.0
Durand,Meriwether,730.0,163.0,145.0,49.0,0.0,357.0,42.0,71.0,60.0,0.0,173.0,1.0,1.0,0.0,0.0,2.0,532.0,72.9,357.0,173.0,2.0
Raleigh,Meriwether,501.0,113.0,162.0,36.0,0.0,311.0,16.0,27.0,25.0,0.0,68.0,2.0,2.0,0.0,0.0,4.0,383.0,76.4,311.0,68.0,4.0
Cove,Meriwether,202.0,91.0,30.0,30.0,0.0,151.0,5.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,163.0,80.7,151.0,11.0,1.0
Tarboro,Camden,979.0,220.0,215.0,55.0,0.0,490.0,50.0,58.0,84.0,0.0,192.0,0.0,6.0,1.0,0.0,7.0,689.0,70.4,490.0,192.0,7.0
Waverly,Camden,1530.0,276.0,467.0,143.0,0.0,886.0,76.0,104.0,167.0,0.0,347.0,3.0,2.0,4.0,0.0,9.0,1242.0,81.2,886.0,347.0,9.0
Woodbine,Camden,1973.0,257.0,479.0,105.0,1.0,842.0,96.0,251.0,193.0,0.0,540.0,11.0,1.0,2.0,0.0,14.0,1396.0,70.8,842.0,540.0,14.0
Browntown,Camden,698.0,126.0,207.0,51.0,0.0,384.0,8.0,25.0,41.0,0.0,74.0,4.0,8.0,2.0,0.0,14.0,472.0,67.6,384.0,74.0,14.0
Harrietts Bluff,Camden,1834.0,361.0,583.0,131.0,0.0,1075.0,46.0,151.0,101.0,1.0,299.0,15.0,8.0,2.0,0.0,25.0,1399.0,76.3,1075.0,299.0,25.0
West Kingsland,Camden,2782.0,295.0,896.0,164.0,0.0,1355.0,85.0,279.0,133.0,0.0,497.0,17.0,17.0,5.0,0.0,39.0,1891.0,68.0,1355.0,497.0,39.0
North Kingsland,Camden,2599.0,188.0,485.0,74.0,0.0,747.0,130.0,426.0,248.0,0.0,804.0,9.0,24.0,5.0,0.0,38.0,1589.0,61.1,747.0,804.0,38.0
Kingsland,Camden,2274.0,178.0,495.0,90.0,0.0,763.0,72.0,266.0,147.0,0.0,485.0,15.0,12.0,2.0,0.0,29.0,1277.0,56.2,763.0,485.0,29.0
East Kingsland,Camden,6866.0,486.0,1942.0,397.0,0.0,2825.0,192.0,898.0,514.0,0.0,1604.0,35.0,42.0,23.0,0.0,100.0,4529.0,66.0,2825.0,1604.0,100.0
North St Marys,Camden,2095.0,158.0,316.0,81.0,0.0,555.0,88.0,201.0,97.0,1.0,387.0,11.0,15.0,10.0,0.0,36.0,978.0,46.7,555.0,387.0,36.0
St Marys,Camden,3218.0,335.0,714.0,173.0,0.0,1222.0,138.0,433.0,274.0,0.0,845.0,25.0,18.0,18.0,0.0,61.0,2128.0,66.1,1222.0,845.0,61.0
South St Marys,Camden,2139.0,207.0,646.0,157.0,3.0,1013.0,48.0,252.0,246.0,0.0,546.0,9.0,8.0,4.0,0.0,21.0,1580.0,73.9,1013.0,546.0,21.0
Mush Bluff,Camden,2816.0,312.0,822.0,174.0,0.0,1308.0,86.0,326.0,226.0,1.0,639.0,8.0,28.0,8.0,0.0,44.0,1991.0,70.7,1308.0,639.0,44.0
West St Marys,Camden,3147.0,222.0,1198.0,366.0,0.0,1786.0,51.0,351.0,306.0,0.0,708.0,8.0,16.0,9.0,0.0,33.0,2527.0,80.3,1786.0,708.0,33.0
Georgetown,Quitman,1454.0,142.0,343.0,80.0,0.0,565.0,145.0,191.0,130.0,1.0,467.0,3.0,1.0,1.0,0.0,5.0,1037.0,71.3,565.0,467.0,5.0
Morris,Quitman,93.0,21.0,10.0,8.0,0.0,39.0,18.0,5.0,7.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,69.0,74.2,39.0,30.0,0.0
Baconton,Mitchell,1129.0,156.0,205.0,39.0,0.0,400.0,98.0,124.0,109.0,0.0,331.0,6.0,2.0,0.0,0.0,8.0,739.0,65.5,400.0,331.0,8.0
Branchville,Mitchell,599.0,172.0,186.0,27.0,0.0,385.0,11.0,42.0,29.0,0.0,82.0,2.0,1.0,0.0,0.0,3.0,470.0,78.5,385.0,82.0,3.0
Camilla North,Mitchell,1996.0,42.0,178.0,28.0,0.0,248.0,194.0,420.0,386.0,0.0,1000.0,1.0,0.0,1.0,0.0,2.0,1250.0,62.6,248.0,1000.0,2.0
Camilla South,Mitchell,3475.0,114.0,871.0,212.0,0.0,1197.0,174.0,573.0,421.0,3.0,1171.0,2.0,2.0,3.0,0.0,7.0,2375.0,68.3,1197.0,1171.0,7.0
Cotton,Mitchell,399.0,181.0,72.0,35.0,0.0,288.0,13.0,6.0,9.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,316.0,79.2,288.0,28.0,0.0
Hopeful,Mitchell,350.0,96.0,91.0,24.0,2.0,213.0,14.0,11.0,15.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,253.0,72.3,213.0,40.0,0.0
Hinsonton,Mitchell,134.0,79.0,17.0,3.0,0.0,99.0,1.0,4.0,8.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,112.0,83.6,99.0,13.0,0.0
Lester,Mitchell,1357.0,278.0,330.0,96.0,0.0,704.0,32.0,50.0,83.0,1.0,166.0,2.0,0.0,0.0,0.0,2.0,872.0,64.3,704.0,166.0,2.0
Pebble City,Mitchell,162.0,66.0,24.0,17.0,0.0,107.0,8.0,10.0,3.0,0.0,21.0,1.0,0.0,0.0,0.0,1.0,129.0,79.6,107.0,21.0,1.0
Pelham,Mitchell,3489.0,224.0,679.0,177.0,0.0,1080.0,252.0,410.0,417.0,1.0,1080.0,3.0,2.0,5.0,0.0,10.0,2170.0,62.2,1080.0,1080.0,10.0
Sale City,Mitchell,384.0,143.0,48.0,23.0,0.0,214.0,21.0,23.0,19.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,277.0,72.1,214.0,63.0,0.0
Senior Citizen Center,Wilkes,1552.0,58.0,263.0,67.0,1.0,389.0,142.0,303.0,228.0,4.0,677.0,2.0,7.0,1.0,0.0,10.0,1076.0,69.3,389.0,677.0,10.0
Young Farmers Bldg,Wilkes,1173.0,123.0,441.0,145.0,1.0,710.0,46.0,104.0,66.0,0.0,216.0,3.0,3.0,3.0,0.0,9.0,935.0,79.7,710.0,216.0,9.0
Metasville Fire Sta,Wilkes,610.0,107.0,170.0,51.0,0.0,328.0,27.0,40.0,65.0,0.0,132.0,1.0,1.0,0.0,0.0,2.0,462.0,75.7,328.0,132.0,2.0
Edward B Pope Center,Wilkes,1017.0,40.0,120.0,32.0,0.0,192.0,145.0,210.0,129.0,0.0,484.0,2.0,3.0,1.0,0.0,6.0,682.0,67.1,192.0,484.0,6.0
Rayle City Hall,Wilkes,570.0,130.0,113.0,31.0,1.0,275.0,38.0,44.0,54.0,0.0,136.0,4.0,1.0,1.0,0.0,6.0,417.0,73.2,275.0,136.0,6.0
Courthouse,Wilkes,1001.0,81.0,332.0,85.0,0.0,498.0,38.0,125.0,92.0,0.0,255.0,1.0,4.0,1.0,0.0,6.0,759.0,75.8,498.0,255.0,6.0
Tignal Sch Lunch Rm,Wilkes,896.0,165.0,210.0,56.0,0.0,431.0,68.0,71.0,121.0,0.0,260.0,3.0,1.0,3.0,0.0,7.0,698.0,77.9,431.0,260.0,7.0
Chokee,Lee,475.0,86.0,83.0,20.0,0.0,189.0,40.0,42.0,78.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,349.0,73.5,189.0,160.0,0.0
Redbone,Lee,4841.0,703.0,1772.0,272.0,2.0,2749.0,138.0,371.0,215.0,1.0,725.0,11.0,10.0,7.0,0.0,28.0,3502.0,72.3,2749.0,725.0,28.0
Smithville,Lee,998.0,115.0,250.0,42.0,0.0,407.0,108.0,94.0,68.0,0.0,270.0,1.0,0.0,1.0,0.0,2.0,679.0,68.0,407.0,270.0,2.0
CJC,Lee,614.0,130.0,264.0,31.0,0.0,425.0,9.0,39.0,17.0,0.0,65.0,1.0,2.0,0.0,0.0,3.0,493.0,80.3,425.0,65.0,3.0
Leesburg,Lee,3313.0,377.0,1038.0,142.0,1.0,1558.0,132.0,390.0,152.0,0.0,674.0,10.0,13.0,1.0,0.0,24.0,2256.0,68.1,1558.0,674.0,24.0
Friendship Baptist,Lee,1376.0,223.0,515.0,70.0,0.0,808.0,28.0,110.0,39.0,0.0,177.0,4.0,4.0,1.0,0.0,9.0,994.0,72.2,808.0,177.0,9.0
First Baptist,Lee,3921.0,510.0,1395.0,247.0,0.0,2152.0,148.0,515.0,277.0,1.0,941.0,10.0,12.0,4.0,0.0,26.0,3119.0,79.5,2152.0,941.0,26.0
SDA Church,Lee,1576.0,272.0,544.0,100.0,0.0,916.0,53.0,167.0,88.0,0.0,308.0,8.0,6.0,0.0,0.0,14.0,1238.0,78.6,916.0,308.0,14.0
Flint Reformed Baptist,Lee,2621.0,326.0,875.0,107.0,0.0,1308.0,94.0,251.0,116.0,0.0,461.0,9.0,9.0,1.0,0.0,19.0,1788.0,68.2,1308.0,461.0,19.0
Century Fire Station,Lee,3162.0,312.0,992.0,190.0,1.0,1495.0,145.0,439.0,193.0,0.0,777.0,8.0,12.0,4.0,0.0,24.0,2296.0,72.6,1495.0,777.0,24.0
Riddleville,Washington,561.0,141.0,103.0,36.0,1.0,281.0,41.0,35.0,73.0,0.0,149.0,2.0,1.0,0.0,0.0,3.0,433.0,77.2,281.0,149.0,3.0
Warthen,Washington,742.0,173.0,99.0,55.0,0.0,327.0,87.0,64.0,94.0,1.0,246.0,1.0,1.0,0.0,0.0,2.0,575.0,77.5,327.0,246.0,2.0
Tennille,Washington,2512.0,165.0,453.0,108.0,0.0,726.0,247.0,457.0,317.0,3.0,1024.0,5.0,2.0,2.0,0.0,9.0,1759.0,70.0,726.0,1024.0,9.0
Oconee,Washington,581.0,128.0,73.0,26.0,0.0,227.0,62.0,65.0,80.0,1.0,208.0,0.0,2.0,0.0,0.0,2.0,437.0,75.2,227.0,208.0,2.0
Harrison,Washington,1005.0,218.0,219.0,55.0,2.0,494.0,85.0,71.0,96.0,0.0,252.0,6.0,1.0,2.0,0.0,9.0,755.0,75.1,494.0,252.0,9.0
